"id","ident","type","name","continent","iso_country","iso_region","municipality","iata_code"
"4650","03N","small_airport","Utirik Airport","OC","MH","MH-UTI","Utirik Island","UTK"
"7063","0AK","small_airport","Pilot Station Airport","NA","US","US-AK","Pilot Station","PQS"
"7977","16A","small_airport","Nunapitchuk Airport","NA","US","US-AK","Nunapitchuk","NUP"
"11318","4A2","small_airport","Atmautluak Airport","NA","US","US-AK","Atmautluak","ATT"
"11487","4K5","small_airport","Ouzinkie Airport","NA","US","US-AK","Ouzinkie","KOZ"
"12243","5A8","medium_airport","Aleknagik / New Airport","NA","US","US-AK","Aleknagik","WKK"
"14173","7KA","small_airport","Tatitlek Airport","NA","US","US-AK","Tatitlek","TEK"
"15640","9A3","small_airport","Chuathbaluk Airport","NA","US","US-AK","Chuathbaluk","CHU"
"16069","9Z8","small_airport","Levelock Airport","NA","US","US-AK","Levelock","KLL"
"16089","A79","small_airport","Chignik Lake Airport","NA","US","US-AK","Chignik Lake","KCQ"
"301649","AGAF","small_airport","Afutara Aerodrome","OC","SB","SB-ML","Bila","AFT"
"35172","AGAT","small_airport","Uru Harbour Airport","OC","SB","SB-ML","Atoifi","ATD"
"30634","AGGA","small_airport","Gwaunaru'u Airport","OC","SB","SB-ML","Auki","AKS"
"302047","AGGB","small_airport","Bellona/Anua Airport","OC","SB","SB-RB","Anua","BNY"
"302291","AGGC","small_airport","Choiseul Bay Airport","OC","SB","SB-CH","-","CHY"
"30678","AGGE","small_airport","Ballalae Airport","OC","SB","SB-WE","Ballalae","BAS"
"35167","AGGF","small_airport","Fera/Maringe Airport","OC","SB","SB-IS","Fera Island","FRE"
"3","AGGH","large_airport","Honiara International Airport","OC","SB","SB-GU","Honiara","HIR"
"31885","AGGI","small_airport","Babanakira Airport","OC","SB","SB-GU","Mbambanakira","MBU"
"31686","AGGK","small_airport","Ngorangora Airport","OC","SB","SB-MK","Kirakira","IRA"
"32275","AGGL","small_airport","Santa Cruz/Graciosa Bay/Luova Airport","OC","SB","SB-TE","Santa Cruz/Graciosa Bay/Luova","SCZ"
"4","AGGM","medium_airport","Munda Airport","OC","SB","SB-WE","Munda","MUA"
"31563","AGGN","small_airport","Nusatupe Airport","OC","SB","SB-WE","Gizo","GZO"
"31932","AGGO","small_airport","Mono Airport","OC","SB","SB-WE","Stirling Island","MNY"
"35171","AGGR","small_airport","Rennell/Tingoa Airport","OC","SB","SB-RB","Rennell Island","RNL"
"308425","AGGT","small_airport","Santa Ana Airport","OC","SB","SB-MK","Santa Ana Island","NNB"
"32238","AGGU","small_airport","Marau Airport","OC","SB","SB-GU","Marau","RUS"
"32564","AGGV","small_airport","Suavanao Airport","OC","SB","SB-IS","Suavanao","VAO"
"302292","AGGY","small_airport","Yandina Airport","OC","SB","SB-CE","Yandina","XYA"
"35169","AGKG","small_airport","Kaghau Airport","OC","SB","SB-CH","Kagau Island","KGE"
"35168","AGOK","small_airport","Gatokae Aerodrome","OC","SB","SB-WE","Gatokae","GTA"
"35170","AGRM","small_airport","Ramata Airport","OC","SB","SB-WE","Ramata","RBV"
"299328","AIP","small_airport","Ailinglaplap Airok Airport","OC","MH","MH-ALL","Bigatyelang Island","AIC"
"45229","AMC","small_airport","Mar de Cortés International Airport","NA","MX","MX-SON","Puerto Peñasco","PPE"
"8","ANYN","medium_airport","Nauru International Airport","OC","NR","NR-14","Yaren District","INU"
"301672","ATP","small_airport","Aitape Airport","OC","PG","PG-SAN","Aitape","ATP"
